Item Number,Brand,Processor,GPU,Type,Maximum Resolution,Model,OS,Storage Type,Features,Price,SSD Capacity (GB),RAM Size (GB),Hard Drive Capacity (GB),Screen Size (in),Processor Speed (GHz)
85264981003,Dell,Intel Core i5-6300U,Intel HD Graphics,Notebook/Laptop,1920 x 1080,Dell Latitude E5470,Windows 10 Pro,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Widescreen Display, Wi-Fi",175.0,500.0,16.0,512.0,14.0,2.4
85264981014,CHUWI,Intel Celeron Processor N4100,"Intel UHD Graphics 600, 650MHz",Notebook/Laptop,1920 x 1080,CHUWI Lapbook Pro,Windows 11 Home,SSD,Wi-Fi,151.99,256.0,8.0,256.0,14.1,2.8
85264981015,CHUWI,Intel Core i5-8259U,Intel Iris Plus Graphics 655,Notebook/Laptop,2160 x 1440,CHUWI CoreBook X,Windows 10,HDD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Wi-Fi",243.99,512.0,8.0,512.0,14.0,3.8
85264981018,Dell,Intel Celeron,Intel UHD Graphics 600,Notebook/Laptop,1366 x 768,Dell Latitude 3189,Windows 10 Pro,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen",129.99,128.0,4.0,128.0,11.0,1.1
85264981019,Acer,Intel Celeron N,Intel HD Graphics,Notebook/Laptop,1366 x 768,Acer Chromebook C731,Chrome OS,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",39.99,16.0,4.0,16.0,11.6,1.6
85264981023,Dell,Intel Core i5 6th Gen.,Intel HD Graphics,Notebook/Laptop,1920 x 1080,Dell Latitude 5289,Windows 10,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam",199.99,256.0,8.0,256.0,12.5,2.6
85264981040,CHUWI,Intel Celeron N5100,Intel® UHD Graphics,Notebook/Laptop,2256 x 1504,CHUWI FreeBook,Windows 10 Home,SSD,"Bluetooth, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet",269.49,512.0,12.0,16.0,13.5,2.8
85264981050,HP,Intel Celeron N,Intel HD Graphics,Chromebook,1366 x 768,Samsung ChromeBook,Chrome OS,eMMC,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi,  Widescreen Display",69.99,16.0,4.0,16.0,11.6,1.6
85264981052,Dell,Intel Core i7 6th Gen.,Intel® HD Graphics 520,Notebook/Laptop,1920 x 1080,Dell Latitude E7270,Windows 10 Pro,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Force Touch Trackpad, Built-in Microphone",129.95,256.0,8.0,256.0,12.5,2.6
85264981066,HP,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Notebook/Laptop,1920 x 1080,Hp Elitlebook G5,Windows 11 Pro,SSD,Wi-Fi,289.99,500.0,32.0,512.0,14.0,2.6
85264981070,Dell,Intel Core i5 6th Gen.,Intel HD Graphics,Notebook/Laptop,1920 x 1080,Dell Latitude Rugged 5414,Windows 10 Pro,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Rugged, Touchscreen, Wi-Fi",200.0,256.0,8.0,256.0,14.0,2.4
85264981072,SGIN,Intel Celeron,AMD Radeon Graphics,Notebook/Laptop,1920 x 1200,X15,Windows 11 Home,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",225.0,512.0,12.0,16.0,15.6,2.8
85264981074,Dell,Intel Core i5 10th Gen.,Intel HD Graphics 630,Notebook/Laptop,1920 x 1080,5410,Not Included,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi",229.0,512.0,16.0,512.0,14.0,1.7
85264981083,ASUS,Intel Core i3 11th Gen.,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,ASUS VivoBook,Windows 11 Home,SSD,"Wi-Fi, Bluetooth, Built-in Webcam, Multi-Touch Trackpad, Built-in Microphone, Backlit Keyboard",292.95,256.0,8.0,256.0,15.6,1.8
85264981085,HP,Intel Core i7 4th Gen.,Intel HD Graphics 4000,Notebook/Laptop,1366 x 768,HP Elitebook Revolve 810 G2,Windows 10 Pro,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",259.0,256.0,8.0,256.0,11.6,2.1
85264981087,Acer,Intel Celeron N,Intel HD Graphics 400,Notebook/Laptop,1366 x 768,C731T-C0X8,Chrome OS,eMMC,Touchscreen,41.0,32.0,4.0,32.0,11.6,2.48
85264981090,Lenovo,Intel Celeron N,Intel UHD Graphics,Notebook/Laptop,1366 x 768,Lenovo IdeaPad 1,Windows 11 Home,eMMC,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",169.99,128.0,4.0,128.0,14.0,1.1
85264981095,Dell,Intel Core i7 7th Gen.,Intel HD Graphics 620,Notebook/Laptop,1920 x 1080,Dell Latitude 7280,Windows 11 Pro,SSD,Wi-Fi,219.99,500.0,16.0,512.0,12.5,2.6
85264981118,Acer,Intel Celeron N,Intel UHD Graphics 600,Notebook/Laptop,1920 x 1080,Acer Swift 1,Windows 11 Home S,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, Multi-Touch Trackpad, Built-in Microphone",89.99,128.0,4.0,128.0,14.0,1.1
85264981122,Microsoft,Intel Core i7 7th Gen.,Intel HD Graphics,Notebook/Laptop,2256 x 1504,Microsoft Surface 1769,Windows 10,SSD,"Bluetooth, Wi-Fi, Built-in Webcam, Touchscreen, Backlit Keyboard",199.99,256.0,8.0,256.0,13.5,2.5
85264981123,HP,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1080,15-dy2795wm,‎Windows 11 Home,SSD,"Bluetooth,  Built-in Webcam,  Built-in Microphone",389.95,256.0,8.0,256.0,15.6,2.4
